Load Record,Item Number
9252543,206878
9272972,39
9262201,51677
9252205,119333
9252201,173957
9252435,11773
9252201,80548
9252543,113406
9252205,46352
9252543,113382
9272915,246
9252543,206951
9242552,87
9272914,13
9262205,52669
9252205,32120
9252332,1042
9254412,52741
9252543,201573
9252202,134933
9252078,58164
9262201,51395
9272915,198
9272915,157
9272890,364
9272890,363
9272915,239
9272915,237
9262450,51328
9272942,408
9252205,27101
9261128,150
9261128,51
9261128,149
9272914,23
9272978,239
9261128,34
9262205,52653
9262475,193
9272914,26
9252211,131960
9261128,33
9242868,17
9254412,52802
9252543,206950
9272915,103
9262205,50802
9272915,147
9252026,68530
9262201,52951
9242822,1329
9242580,1465
9262205,52654
9262450,51159
9242580,1466
9242580,1469
9242580,1467
9242553,732
9252201,175328
9242822,602
9252543,208361
9252543,208359
9252202,134990
9272915,253
9262205,50262
9242822,6029
9253100,72218
9242959,22
9252202,135475
9242822,1971
9262205,52651
9252026,67839
9252543,32857
9252543,205409
9272915,78
9262201,50515
9262201,50469
9272915,197
9272915,187
9252201,173381
9242752,66
9252211,11410
9262201,52006
9252202,137454
9252545,7762
9252202,70125
9262205,52670
9252205,61276
9252205,27110
9252201,106767
9254412,2649
9252205,61278
9252205,61277
9252033,66695
9272975,3
9262201,51398
9262201,51686
9252503,50916
9252543,97559
9262201,51891
9252202,140022
9272914,7
9242580,958
9252026,67814
9262204,1007
9262204,1009
9252205,119965
9262205,50134
9252201,173775
9252450,56768
9272915,178
9262201,51397
9242822,1789
9272915,240
9242580,956
9242580,1464
9272890,22
9272915,183
9242553,489
9272942,407
9252205,125444
9262201,51537
9252026,68589
9262201,51538
9252205,68721
9252205,119348
9252543,200338
9252543,200337
9252201,173582
9252205,120323
9252543,203278
9252201,173959
9252423,61979
9252423,61962
9252047,55292
9252543,205192
9242580,1434
9272915,33
9272915,28
9252248,72934
9272915,185
9272978,238
9272978,237
9262450,50657
9262450,50708
9262450,50720
9242715,16
9242952,15
9262201,52090
9252026,68528
9262201,52019
9252547,1237
9273002,21
9242702,63
9262450,51069
9261128,136
9261128,40
9261128,35
9261128,92
9261128,153
9261128,132
9261128,154
9254412,52770
9262201,51687
9254412,52800
9252450,56756
9242822,584
9252201,175310
9272915,170
9252543,120422
9242822,1588
9272915,51
9262201,51689
9262201,51260
9272890,84
9242552,554
9252543,200314
9242602,1519
9261109,4
9252359,50884
9252205,119753
9262201,51393
9272954,133
9242822,1701
9252078,58356
9252211,131259
9252201,65958
9242552,811
9252045,54456
9252551,50124
9262423,75
9251300,15
9242580,1402
9251300,87
9251311,152
9251311,21
9262475,52318
9262201,50852
9252543,205354
9252543,206971
9262475,52818
9252750,50300
9251300,86
9251316,5194
9261128,38
9262475,51851
9251288,147
9242822,706
9252202,134712
9252435,68419
9272825,419
9252201,174604
9252450,56767
9252202,142813
9252580,50579
9242553,196
9262201,51402
9252547,1177
9262201,51403
9242971,20
9242665,175
9242822,1706
9262205,51370
9242971,22
9262201,52003
9242822,1688
9242553,544
9252543,200308
9252205,119337
9252543,200311
9252543,200313
9252543,200310
9252201,173383
9252450,56574
9252543,203268
9252543,203269
9252561,50130
9252543,205408
9252475,96858
9252435,69064
9254412,2648
9252543,146831
9242569,114
9252201,179277
9252435,12037
9242665,207
9252543,200320
9252205,119347
9254412,52745
9254412,52742
9262204,1004
9254412,52809
9252475,97001
9272915,29
9262201,50813
9242552,588
9262201,50812
9252543,205410
9272915,73
9251510,51719
9252205,121178
9262450,50857
9242822,1389
9272915,172
9262201,51401
9242553,191
9272954,135
9242602,1425
9242580,1435
9262201,52018
9242553,277
9242822,1587
9262205,51362
9262450,51221
9262205,52662
9262205,52652
9252202,132590
9253100,72217
9252202,135346
9242559,330
9242602,1797
9261128,12
9252543,206335
9252202,135544
9261128,152
9261128,151
9252078,58091
9261128,109
9272928,76
9252211,133159
9272953,27
9252202,134457
9242816,119
9252202,136505
9252205,68030
9252435,16323
9252202,33708
9242822,1982
9254412,52723
9252543,200294
9261128,25
9254412,52773
9272915,30
9252475,97039
9262205,50254
9242952,16
9242580,105
9242580,954
9272915,199
9272890,679
9272928,110
9242822,604
9262475,52264
9272890,274
9251288,148
9242822,287
9262450,51163
9242822,1880
9262201,52832
9272913,41
9261128,114
9252503,50921
9252543,97560
9252205,120318
9262205,50289
9252201,174892
9272915,45
9242580,602
9252543,206846
9252026,68523
9252524,50865
9251303,3
9251303,6
9252543,202444
9252046,53815
9252737,50149
9252026,67809
9252543,201203
9252543,203455
9252211,132722
9252201,173996
9252211,132201
9252202,134063
9252211,133504
9252450,56802
9242822,295
9252332,51244
9242822,296
9262450,50182
9252211,137112
9252500,53065
9262450,50632
9252211,134359
9253102,193344
9242822,592
9252526,50683
9252435,67846
9252435,68803
9252202,142118
9251298,57150
9252536,52073
9251342,59061
9262450,50747
9252582,50050
9262450,50750
9252543,207682
9242578,597
9252420,50850
9252482,50408
